;;;;pib;Importaciones de bienes y servicios (US$ a precios actuales);Exportaciones de bienes y servicios (US$ a precios actuales);Total de reservas (incluye oro, US$ a precios actuales);Gasto público en educación, total (% del PIB);Esperanza de vida al nacer, total (años)
Country Name;Country Code;Indicator Name;Indicator Code;2020;2020;2020;2020;2020;2020
Aruba;ABW;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;2610038938;1694640361;1347955008;1212578720;;75.723
;AFE;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;9.34179E+11;2.17779E+11;2.04917E+11;;4.608170033;63.31385599
Afganistán;AFG;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;20143442151;;;9748946327;2.860859394;62.575
;AFW;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;7.848E+11;1.34852E+11;1.24035E+11;;3.173885107;57.22637273
Angola;AGO;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;53619073505;8710618375;19110949393;13781988140;2.415199995;62.261
Albania;ALB;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;15131866271;5636282434;3435536125;4817386149;3.099999905;76.989
Andorra;AND;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;2891022273;;;;;
El mundo árabe;ARB;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;2.49118E+12;9.17041E+11;9.3374E+11;;3.670000076;70.92335959
Emiratos Árabes Unidos;ARE;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;3.49473E+11;2.46886E+11;3.35238E+11;1.06702E+11;3.879869938;78.946
Argentina;ARG;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;3.8554E+11;52467889599;64041594763;39403734630;5.016049862;75.892
Armenia;ARM;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;12641697523;5021765248;3762799614;2615530571;2.705670118;72.173
Samoa Americana;ASM;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;716000000;691000000;426000000;;;
Antigua y Barbuda;ATG;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1370281481;655278518.5;598873555.6;221808945.9;3.453119993;78.841
Australia;AUS;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.3269E+12;2.68368E+11;3.18566E+11;42544629265;6.099999905;83.2
Austria;AUT;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;4.35225E+11;2.11567E+11;2.24632E+11;30439562425;5.070000172;81.19268293
Azerbaiyán;AZE;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;42693000000;15537823529;15208764706;7633754110;4.332049847;66.868
Burundi;BDI;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;2649671999;588863370;120542058.2;90319165.54;5.040979862;61.566
Bélgica;BEL;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;5.25212E+11;4.08268E+11;4.17264E+11;33296227565;6.710000038;80.79512195
Benin;BEN;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;15651545209;3906745097;3110348693;;3.003659964;60.088
Burkina Faso;BFA;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;17933606353;;;;5.519080162;59.731
Bangladesh;BGD;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;3.73902E+11;59183693205;39045806253;43171735336;2.049217463;71.968
Bulgaria;BGR;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;70240275010;38042785644;39419475034;37860001349;4.039999962;73.60731707
Bahrein;BHR;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;34723357447;23296808511;25249202128;2523073657;2.152050018;79.174
Bahamas;BHS;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;9699500000;3314200000;2452800000;2382077961;2.371340036;72.677
Bosnia y Herzegovina;BIH;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;19950471171;9694124054;6913440303;8707117939;;76.225
Belarús;BLR;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;61371126414;35547220856;37443843253;7468343228;4.952449799;74.22682927
Belice;BLZ;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;2080000000;901000000;770500000;348090076;7.528779984;72.854
Bermudas;BMU;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;6887147000;1519287000;3246335000;;1.874771237;82.05609756
Bolivia;BOL;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;36629843805;9241956045;7425817969;5247234669;9.837454796;64.467
Brasil;BRA;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.44856E+12;2.33151E+11;2.43287E+11;3.55614E+11;;74.009
Barbados;BRB;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;4671800000;1719050000;1389450000;1358013876;3.05817008;77.393
Brunei Darussalam;BRN;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;12005825759;6355270928;6886074799;3997356505;;74.795
Bhután;BTN;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;2325184481;1075563026;689741914.9;1473072609;5.901417732;71.609
Botswana;BWA;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;14930072459;6937550628;4681134687;4940893803;8.739999771;65.647
República Centroafricana;CAF;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;2326720921;799194666.1;353021266.3;;2.166699886;54.604
Canadá;CAN;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.64542E+12;5.16977E+11;4.83153E+11;90428136419;5.170000076;81.74878049
Europa Central y del Báltico;CEB;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.6649E+12;9.33608E+11;9.86032E+11;;5.13499999;76.14403428
Suiza;CHE;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;7.39914E+11;4.28104E+11;4.75816E+11;1.0834E+12;5.21999979;83.1
Islas del Canal;CHI;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;;;;;;81.264
Chile;CHL;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;2.52727E+11;68162104626;79693816697;39166118109;;79.377
China;CHN;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.46877E+13;2.37473E+12;2.72987E+12;3.35724E+12;3.569999933;78.077
Côte d'Ivoire;CIV;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;61348579465;12660139981;13231734148;;3.443020105;59.032
Camerún;CMR;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;40773241531;7544328736;6212147273;;3.166160107;60.833
Congo, República Democrática del;COD;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;48716960860;14559943485;13935463039;747655324.3;2.450000048;59.739
Congo, República del;COG;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;10483151176;4445853443;5976728065;;4.448619843;63.785
Colombia;COL;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;2.703E+11;55177280626;36465851526;58499477957;4.933100224;74.769
Comoras;COM;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1225039231;343723743.1;69481188.4;294339897.9;;64.166
Cabo Verde;CPV;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1703698677;1019523180;423385851.9;735084797.4;7.58479023;74.808
Costa Rica;CRI;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;62158002233;17758340791;19601771162;7231533677;6.710669994;79.277
Estados pequeos del Caribe;CSS;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;65896805290;;;;4.860620022;72.57488244
Cuba;CUB;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.07352E+11;8067000000;8769000000;;1.15248E-05;77.567
Curacao;CUW;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;2496174749;;;;7.42913866;
Islas Caimán;CYM;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;5608989200;2592463699;3372614905;216800000;;
Chipre;CYP;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;25008448886;20698733295;20354070817;1237326347;6.059999943;81.391
República Checa;CZE;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;2.45975E+11;1.55455E+11;1.72056E+11;1.66126E+11;5.079999924;78.22682927
Alemania;DEU;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;3.88967E+12;1.45416E+12;1.67307E+12;2.68409E+11;4.659999847;80.94146341
Djibouti;DJI;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;3181071154;3414846867;3682879345;686339280.9;;62.694
Dominica;DMA;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;504214814.8;;;165824163.3;4.69630003;
Dinamarca;DNK;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;3.55222E+11;1.72576E+11;1.95122E+11;72823350927;6.380000114;81.55121951
República Dominicana;DOM;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;78844702329;20498013695;14425187965;10844812012;4.618700027;72.889
Argelia;DZA;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.45009E+11;40595755690;25109483754;59434389110;7.042397499;74.453
Asia oriental y el Pacífico (excluido altos ingresos);EAP;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.74869E+13;3.41962E+12;3.83349E+12;;3.569999933;75.93624944
inicial del dividendo demográfico;EAR;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.08514E+13;2.58416E+12;2.46279E+12;;4.102479219;70.03012812
Asia oriental y el Pacífico;EAS;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;2.71273E+13;6.51803E+12;7.22977E+12;;3.652405262;76.76268134
Europa y Asia central (excluido altos ingresos);ECA;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;2.98263E+12;8.51741E+11;8.78013E+11;;4.389126778;72.25961847
Europa y Asia central;ECS;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;2.214E+13;8.71238E+12;9.34614E+12;;5.075000048;77.02532399
Ecuador;ECU;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;99291124000;19378950000;21702981000;7136589071;4.134130001;72.153
Egipto, República Árabe de;EGY;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;3.65253E+11;75433562071;47872738615;38972812937;2.480000019;70.99
Zona del Euro;EMU;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.30855E+13;5.45297E+12;5.92138E+12;1.07785E+12;5.185000181;81.53712191
Eritrea;ERI;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;;;;;;67.133
España;ESP;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.27696E+12;3.74702E+11;3.93304E+11;81287702461;4.590000153;82.33414634
Estonia;EST;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;31370395573;21705953338;21731484847;1996892749;6.579999924;78.34634146
Etiopía;ETH;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.07658E+11;18171455004;7672983061;3046114359;;65.371
Unión Europea;EUU;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.53694E+13;6.57023E+12;7.12578E+12;;5.13499999;80.46503667
Frágiles y situaciones de conflicto afectados;FCS;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.68089E+12;3.69009E+11;3.24291E+11;;3.166160107;61.75956099
Finlandia;FIN;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;2.71892E+11;97093522437;97673758061;13479975777;5.880000114;82.13170732
Fiji;FJI;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;4477040340;1979620066;1232063814;1081812965;5.67535305;67.924
Francia;FRA;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;2.63901E+12;7.76227E+11;7.24414E+11;2.24236E+11;5.5;82.17560976
Islas Feroe;FRO;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;3248696902;1596536280;1551764724;;;83.09268293
Micronesia (Estados Federados de);FSM;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;408000000;266400000;96900000;451912609;;70.674
Gabón;GAB;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;15314577168;3454238785;7275153457;;3.181610107;66.531
Reino Unido;GBR;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;2.70461E+12;7.81063E+11;7.90752E+11;1.80054E+11;5.53000021;80.90243902
Georgia;GEO;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;15842922533;8964607358;5908062643;3913274195;3.850080013;72.765
Ghana;GHA;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;70043199814;12464758654;14513683721;7884091539;;64.114
Gibraltar;GIB;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;;;;;;82.198
Guinea;GIN;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;14177835816;9650466163;9118509088;1499116033;2.199470043;59.327
Gambia;GMB;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1812169484;686423943.3;174363176.4;387046403.6;2.763720036;62.612
Guinea-Bissau;GNB;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1431758243;418772054.7;205987686.6;;2.708430052;59.999
Guinea Ecuatorial;GNQ;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;10099158075;4639617711;4391793755;;;60.708
Grecia;GRC;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.88926E+11;74970361411;60434496175;11931180005;4.440000057;81.08780488
Granada;GRD;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1043414815;;;293320432.2;;74.924
Groenlandia;GRL;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;3076015347;1502208771;1118524633;;;71.40463415
Guatemala;GTM;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;77625486978;19274928500;12674665553;18463562202;3.299720049;71.797
Guam;GUM;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;5886000000;3383000000;371000000;;;76.612
Guyana;GUY;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;5471256595;;;680634183.7;;68.486
Ingreso alto;HIC;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;5.38746E+13;1.51446E+13;1.55542E+13;;5.170000076;80.20840487
Hong Kong, Región Administrativa Especial;HKG;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;3.44932E+11;6.01495E+11;6.08117E+11;4.91776E+11;4.406340122;85.38780488
Honduras;HND;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;23827840810;12038975832;8362282818;8138457728;6.438439846;71.462
Países pobres muy endeudados (PPME);HPC;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;8.03236E+11;2.17241E+11;1.59619E+11;;3.225150108;62.76172018
Croacia;HRV;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;57472012427;27875871736;23840548541;23253815166;5.539999962;77.72439024
Haití;HTI;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;14508218017;4318064226;1110024755;2590258527;1.371014357;64.052
Hungría;HUN;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.57182E+11;1.20715E+11;1.23747E+11;41349416013;4.760000229;75.61707317
Sólo BIRF;IBD;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;3.0069E+13;6.63831E+12;7.07617E+12;;4.134130001;73.39793576
BIRF y la AIF;IBT;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;3.24044E+13;7.14596E+12;7.44174E+12;;3.916970015;70.82550673
total de la AIF;IDA;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;2.33505E+12;5.04749E+11;3.65719E+11;;3.277850032;63.58904063
mezcla de la AIF;IDB;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.00207E+12;1.54787E+11;1.16563E+11;;4.153061867;61.00472552
Indonesia;IDN;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.05869E+12;1.66258E+11;1.82851E+11;1.35916E+11;3.49000001;68.808
Sólo AIF;IDX;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.33638E+12;3.52098E+11;2.48356E+11;;3.225150108;64.89182503
Isla de Man;IMN;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;;;;;;80.588
India;IND;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;2.66769E+12;5.09434E+11;4.99095E+11;5.90227E+11;4.474229813;70.15
No clasificado;INX;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;;;;;;
Irlanda;IRL;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;4.25852E+11;4.87297E+11;5.6782E+11;7463044895;3.099999905;82.20487805
Irán, República Islámica del;IRN;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;2.39736E+11;58460851131;46567697156;;3.592430115;74.832
Iraq;IRQ;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.8437E+11;54265699329;50188790940;54424472658;;69.123
Islandia;ISL;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;21694674810;7594986119;7474085350;6419314385;7.71999979;83.06585366
Israel;ISR;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;4.13268E+11;95909886049;1.14375E+11;1.73292E+11;7.070000172;82.7
Italia;ITA;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.89676E+12;4.90179E+11;5.58466E+11;2.10687E+11;4.269999981;82.34390244
Jamaica;JAM;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;13812425037;5770089104;3326741736;3938028781;5.617499828;71.869
Jordania;JOR;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;44182298292;18424084507;10444366197;;3.670000076;75.184
Japón;JPN;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;5.04011E+12;7.96345E+11;7.84168E+11;1.39081E+12;3.420000076;84.61560976
Kazajstán;KAZ;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.71082E+11;45332614366;52229580197;35638096635;4.446203709;71.37
Kenya;KEN;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.00667E+11;17711640495;9703784283;8297263559;5.079969883;62.675
Kirguistán;KGZ;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;7780874537;4058836839;2435961218;2811615193;6.214864731;71.8
Camboya;KHM;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;25872798012;16160458172;15793225849;21328475093;3.126306534;70.416
Kiribati;KIR;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;180911843.6;150176450.3;23017273.42;;;67.266
Saint Kitts y Nevis;KNA;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;884525925.9;;;373502419.4;3.398791552;
Corea, República de;KOR;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.64431E+12;5.3727E+11;5.97865E+11;4.43463E+11;;83.42682927
Kuwait;KWT;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;1.0596E+11;;;52918606999;6.551259995;76.92
América Latina y el Caribe (excluido altos ingresos);LAC;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;3.99765E+12;9.41419E+11;9.44919E+11;;4.618700027;72.83031323
República Democrática Popular Lao;LAO;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;18981800705;;;1392600619;2.299760103;68.497
Líbano;LBN;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;31712128254;10705132083;5192095746;42440403087;1.690000057;77.804
Liberia;LBR;PIB (US$ a precios actuales);NY.GDP.MKTP.CD;3039982500;;;340965880.5;2.309289932;60.948
